routeframecode,extendedcode,framealtcode,latitude,longitude,framesizefamilycode,framesizename,productformatname,digital,modeltype,productformatmarketingname,revenuestreamname,channelname,visualunitcode,visualunitname,linkedassetcode,linkedassetname,geographicalareacode,geographicalareaname,geolevelname,startdate,enddate,maxstatusdate,tvareacode,tvareaname,conurbationcode,routetowncode,routetownname,districtcode,sitecode,furnitureindex,address,postcode,postalsector,businessareacode,businessareagroupcode,productformatmarketingcode,revenuestreamcode,activestatus,currentstatus,businessareaname,conurbation,extid,fsizename,productformatcode,sitenumber,medialength,dayframe
CDN0031DB.EAST,CDN0031DB.EAST,30673474,41.84619,-87.648478,"",Digital 324x1044,Digital Billboard  (324x1044),1,Digital,default,Digital Billboard,Chicago Digital Network,"","","","",CDN-1411,CDN-1411,Ward 11.,2013-09-03,2099-12-31,2099-12-31,A,USA,NONE,CHICAGO,CHICAGO,1411,S.CDN0031DB,CDN0031DB,STEVENSON EXWY E/O ARCHER,60608,60608,CHI,CDN,DEFAULT,CDNREV,1,1,Digital Billboard,Non-Conurbation,60,"",18x58,"",10.0,2022-03-23
CDN0028DB.NORTH,CDN0028DB.NORTH,30749132,41.842194,-87.63185,"",Digital 324x1044,Digital Billboard  (324x1044),1,Digital,default,Digital Billboard,Chicago Digital Network,"","","","",CDN-1411,CDN-1411,Ward 11.,2013-09-03,2099-12-31,2099-12-31,A,USA,NONE,CHICAGO,CHICAGO,1411,S.CDN0028DB,CDN0028DB,DAN RYAN EXWY S/O W 29TH,60616,60616,CHI,CDN,DEFAULT,CDNREV,1,1,Digital Billboard,Non-Conurbation,61,"",18x58,"",10.0,2022-03-23
CDN0030DB.WEST,CDN0030DB.WEST,30718800,41.837291,-87.667132,"",Digital 324x1044,Digital Billboard  (324x1044),1,Digital,default,Digital Billboard,Chicago Digital Network,"","","","",CDN-1414,CDN-1414,Ward 25.,2013-09-03,2099-12-31,2099-12-31,A,USA,NONE,CHICAGO,CHICAGO,1414,S.CDN0030DB,CDN0030DB,STEVENSON EXWY AT ASHLAND,60608,60608,CHI,CDN,DEFAULT,CDNREV,1,1,Digital Billboard,Non-Conurbation,62,"",18x58,"",10.0,2022-03-23
CDN0033DB.NORTH,CDN0033DB.NORTH,30673476,41.799446,-87.630522,"",Digital 324x1044,Digital Billboard  (324x1044),1,Digital,default,Digital Billboard,Chicago Digital Network,"","","","",CDN-1409,CDN-1409,Ward 03.,2013-09-03,2099-12-31,2099-12-31,A,USA,NONE,CHICAGO,CHICAGO,1409,S.CDN0033DB,CDN0033DB,DAN RYAN EXWY S/O 51ST,60609,60609,CHI,CDN,DEFAULT,CDNREV,1,1,Digital Billboard,Non-Conurbation,63,"",18x58,"",10.0,2022-03-23
CDN0038DB.SOUTH,CDN0038DB.SOUTH,30673455,41.848172,-87.642331,"",Digital 324x1044,Digital Billboard  (324x1044),1,Digital,default,Digital Billboard,Chicago Digital Network,"","","","",CDN-1411,CDN-1411,Ward 11.,2013-12-31,2099-12-31,2099-12-31,A,USA,NONE,CHICAGO,CHICAGO,1411,S.CDN0038DB,CDN0038DB,DAN RYAN EXWY AT 24TH,60616,60616,CHI,CDN,DEFAULT,CDNREV,1,1,Digital Billboard,Non-Conurbation,64,"",18x58,"",10.0,2022-03-23
CDN0028DB.SOUTH,CDN0028DB.SOUTH,30749133,41.842194,-87.63185,"",Digital 324x1044,Digital Billboard  (324x1044),1,Digital,default,Digital Billboard,Chicago Digital Network,"","","","",CDN-1411,CDN-1411,Ward 11.,2013-09-03,2099-12-31,2099-12-31,A,USA,NONE,CHICAGO,CHICAGO,1411,S.CDN0028DB,CDN0028DB,DAN RYAN EXWY S/O W 29TH,60616,60616,CHI,CDN,DEFAULT,CDNREV,1,1,Digital Billboard,Non-Conurbation,110,"",18x58,"",10.0,2022-03-23
CDN0033DB.SOUTH,CDN0033DB.SOUTH,30673477,41.799446,-87.630522,"",Digital 324x1044,Digital Billboard  (324x1044),1,Digital,default,Digital Billboard,Chicago Digital Network,"","","","",CDN-1409,CDN-1409,Ward 03.,2013-09-03,2099-12-31,2099-12-31,A,USA,NONE,CHICAGO,CHICAGO,1409,S.CDN0033DB,CDN0033DB,DAN RYAN EXWY S/O 51ST,60609,60609,CHI,CDN,DEFAULT,CDNREV,1,1,Digital Billboard,Non-Conurbation,111,"",18x58,"",10.0,2022-03-23
CDN0031DB.WEST,CDN0031DB.WEST,30673475,41.84619,-87.648478,"",Digital 324x1044,Digital Billboard  (324x1044),1,Digital,default,Digital Billboard,Chicago Digital Network,"","","","",CDN-1411,CDN-1411,Ward 11.,2013-09-03,2099-12-31,2099-12-31,A,USA,NONE,CHICAGO,CHICAGO,1411,S.CDN0031DB,CDN0031DB,STEVENSON EXWY E/O ARCHER,60608,60608,CHI,CDN,DEFAULT,CDNREV,1,1,Digital Billboard,Non-Conurbation,112,"",18x58,"",10.0,2022-03-23
CDN0055DB.NORTH,CDN0055DB.NORTH,30749134,41.850567,-87.644361,"",Digital 324x1044,Digital Billboard  (324x1044),1,Digital,default,Digital Billboard,Chicago Digital Network,"","","","",CDN-1411,CDN-1411,Ward 11.,2014-07-01,2099-12-31,2099-12-31,A,USA,NONE,CHICAGO,CHICAGO,1411,S.CDN0055DB,CDN0055DB,DAN RYAN EXWY S/O CERMAK,60616,60616,CHI,CDN,DEFAULT,CDNREV,1,1,Digital Billboard,Non-Conurbation,123,"",18x58,"",10.0,2022-03-23
CDN0035DB.NORTH,CDN0035DB.NORTH,30673480,41.916948,-87.670219,"",Digital 324x1044,Digital Billboard  (324x1044),1,Digital,default,Digital Billboard,Chicago Digital Network,"","","","",CDN-1418,CDN-1418,Ward 32.,2013-12-31,2099-12-31,2099-12-31,A,USA,NONE,CHICAGO,CHICAGO,1418,S.CDN0035DB,CDN0035DB,KENNEDY EXWY AT CORTLAND,60622,60622,CHI,CDN,DEFAULT,CDNREV,1,1,Digital Billboard,Non-Conurbation,124,"",18x58,"",10.0,2022-03-23
CDN0034DB.NORTH,CDN0034DB.NORTH,30673478,41.679442,-87.602142,"",Digital 324x1044,Digital Billboard  (324x1044),1,Digital,default,Digital Billboard,Chicago Digital Network,"","","","",CDN-1410,CDN-1410,Ward 09.,2013-09-03,2099-12-31,2099-12-31,A,USA,NONE,CHICAGO,CHICAGO,1410,S.CDN0034DB,CDN0034DB,BISHOP FORD EXWY S/O 115TH,60628,60628,CHI,CDN,DEFAULT,CDNREV,1,1,Digital Billboard,Non-Conurbation,170,"",18x58,"",10.0,2022-03-23
CDN0025DB.EAST,CDN0025DB.EAST,30673472,41.87195,-87.749103,"",Digital 324x1044,Digital Billboard  (324x1044),1,Digital,default,Digital Billboard,Chicago Digital Network,"","","","",CDN-1417,CDN-1417,Ward 29.,2013-09-03,2099-12-31,2099-12-31,A,USA,NONE,CHICAGO,CHICAGO,1417,S.CDN0025DB,CDN0025DB,EISENHOWER EXWY AT LAVERGNE,60644,60644,CHI,CDN,DEFAULT,CDNREV,1,1,Digital Billboard,Non-Conurbation,171,"",18x58,"",10.0,2022-03-23
CDN0053DB.NORTH,CDN0053DB.NORTH,30718807,41.90338,-87.660115,"",Digital 324x1044,Digital Billboard  (324x1044),1,Digital,default,Digital Billboard,Chicago Digital Network,"","","","",CDN-1415,CDN-1415,Ward 27.,2014-07-01,2099-12-31,2099-12-31,A,USA,NONE,CHICAGO,CHICAGO,1415,S.CDN0053DB,CDN0053DB,KENNEDY EXWY AT DIVISION,60642,60642,CHI,CDN,DEFAULT,CDNREV,1,1,Digital Billboard,Non-Conurbation,172,"",18x58,"",10.0,2022-03-23
CDN0035DB.SOUTH,CDN0035DB.SOUTH,30673481,41.916948,-87.670219,"",Digital 324x1044,Digital Billboard  (324x1044),1,Digital,default,Digital Billboard,Chicago Digital Network,"","","","",CDN-1418,CDN-1418,Ward 32.,2013-12-31,2099-12-31,2099-12-31,A,USA,NONE,CHICAGO,CHICAGO,1418,S.CDN0035DB,CDN0035DB,KENNEDY EXWY AT CORTLAND,60622,60622,CHI,CDN,DEFAULT,CDNREV,1,1,Digital Billboard,Non-Conurbation,173,"",18x58,"",10.0,2022-03-23
CDN0055DB.SOUTH,CDN0055DB.SOUTH,30749135,41.850567,-87.644361,"",Digital 324x1044,Digital Billboard  (324x1044),1,Digital,default,Digital Billboard,Chicago Digital Network,"","","","",CDN-1411,CDN-1411,Ward 11.,2014-07-01,2099-12-31,2099-12-31,A,USA,NONE,CHICAGO,CHICAGO,1411,S.CDN0055DB,CDN0055DB,DAN RYAN EXWY S/O CERMAK,60616,60616,CHI,CDN,DEFAULT,CDNREV,1,1,Digital Billboard,Non-Conurbation,174,"",18x58,"",10.0,2022-03-23
CDN0034DB.SOUTH,CDN0034DB.SOUTH,30673479,41.679442,-87.602142,"",Digital 324x1044,Digital Billboard  (324x1044),1,Digital,default,Digital Billboard,Chicago Digital Network,"","","","",CDN-1410,CDN-1410,Ward 09.,2013-09-03,2099-12-31,2099-12-31,A,USA,NONE,CHICAGO,CHICAGO,1410,S.CDN0034DB,CDN0034DB,BISHOP FORD EXWY S/O 115TH,60628,60628,CHI,CDN,DEFAULT,CDNREV,1,1,Digital Billboard,Non-Conurbation,220,"",18x58,"",10.0,2022-03-23
CDN0053DB.SOUTH,CDN0053DB.SOUTH,30718808,41.90338,-87.660115,"",Digital 324x1044,Digital Billboard  (324x1044),1,Digital,default,Digital Billboard,Chicago Digital Network,"","","","",CDN-1415,CDN-1415,Ward 27.,2014-07-01,2099-12-31,2099-12-31,A,USA,NONE,CHICAGO,CHICAGO,1415,S.CDN0053DB,CDN0053DB,KENNEDY EXWY AT DIVISION,60642,60642,CHI,CDN,DEFAULT,CDNREV,1,1,Digital Billboard,Non-Conurbation,221,"",18x58,"",10.0,2022-03-23
CDN0025DB.WEST,CDN0025DB.WEST,30673473,41.87195,-87.749103,"",Digital 324x1044,Digital Billboard  (324x1044),1,Digital,default,Digital Billboard,Chicago Digital Network,"","","","",CDN-1417,CDN-1417,Ward 29.,2013-09-03,2099-12-31,2099-12-31,A,USA,NONE,CHICAGO,CHICAGO,1417,S.CDN0025DB,CDN0025DB,EISENHOWER EXWY AT LAVERGNE,60644,60644,CHI,CDN,DEFAULT,CDNREV,1,1,Digital Billboard,Non-Conurbation,222,"",18x58,"",10.0,2022-03-23
CDN0009DB.NORTH,CDN0009DB.NORTH,30673484,41.853461,-87.645747,"",Digital 324x1044,Digital Billboard  (324x1044),1,Digital,default,Digital Billboard,Chicago Digital Network,"","","","",CDN-1411,CDN-1411,Ward 11.,2013-09-03,2099-12-31,2099-12-31,A,USA,NONE,CHICAGO,CHICAGO,1411,S.CDN0009DB,CDN0009DB,DAN RYAN EXWY N/O CERMAK,60616,60616,CHI,CDN,DEFAULT,CDNREV,1,1,Digital Billboard,Non-Conurbation,232,"",18x58,"",10.0,2022-03-23
CDN0018DB.WEST,CDN0018DB.WEST,30673451,41.846783,-87.627142,"",Digital 336x1152,Digital Billboard  (336x1152),1,Digital,default,Digital Billboard,Chicago Digital Network,"","","","",CDN-1409,CDN-1409,Ward 03.,2013-09-03,2099-12-31,2099-12-31,A,USA,NONE,CHICAGO,CHICAGO,1409,S.CDN0018DB,CDN0018DB,STEVENSON EXWY W/O STATE,60616,60616,CHI,CDN,DEFAULT,CDNREV,1,1,Digital Billboard,Non-Conurbation,233,"",14x48,"",10.0,2022-03-23
CDN0014DB.NORTH,CDN0014DB.NORTH,30714334,41.972889,-87.747139,"",Digital 324x1044,Digital Billboard  (324x1044),1,Digital,default,Digital Billboard,Chicago Digital Network,"","","","",CDN-1420,CDN-1420,Ward 39.,2013-09-03,2099-12-31,2099-12-31,A,USA,NONE,CHICAGO,CHICAGO,1420,S.CDN0014DB,CDN0014DB,EDENS EXWY N/O ELSTON,60630,60630,CHI,CDN,DEFAULT,CDNREV,1,1,Digital Billboard,Non-Conurbation,279,"",18x58,"",10.0,2022-03-23
CDN0016DB.NORTH,CDN0016DB.NORTH,30673450,41.980046,-87.778155,"",Digital 324x1044,Digital Billboard  (324x1044),1,Digital,default,Digital Billboard,Chicago Digital Network,"","","","",CDN-1422,CDN-1422,Ward 45.,2013-09-03,2099-12-31,2099-12-31,A,USA,NONE,CHICAGO,CHICAGO,1422,S.CDN0016DB,CDN0016DB,KENNEDY EXWY AT AUSTIN,60630,60630,CHI,CDN,DEFAULT,CDNREV,1,1,Digital Billboard,Non-Conurbation,280,"",18x58,"",10.0,2022-03-23
CDN0019DB.SOUTH,CDN0019DB.SOUTH,30673452,41.963654,-87.750072,"",Digital 324x1044,Digital Billboard  (324x1044),1,Digital,default,Digital Billboard,Chicago Digital Network,"","","","",CDN-1422,CDN-1422,Ward 45.,2013-09-03,2099-12-31,2099-12-31,A,USA,NONE,CHICAGO,CHICAGO,1422,S.CDN0019DB,CDN0019DB,KENNEDY EXWY W/O CICERO,60630,60630,CHI,CDN,DEFAULT,CDNREV,1,1,Digital Billboard,Non-Conurbation,284,"",18x58,"",10.0,2022-03-23
CDN0009DB.SOUTH,CDN0009DB.SOUTH,30673485,41.853461,-87.645747,"",Digital 324x1044,Digital Billboard  (324x1044),1,Digital,default,Digital Billboard,Chicago Digital Network,"","","","",CDN-1411,CDN-1411,Ward 11.,2013-09-03,2099-12-31,2099-12-31,A,USA,NONE,CHICAGO,CHICAGO,1411,S.CDN0009DB,CDN0009DB,DAN RYAN EXWY N/O CERMAK,60616,60616,CHI,CDN,DEFAULT,CDNREV,1,1,Digital Billboard,Non-Conurbation,286,"",18x58,"",10.0,2022-03-23
CDN0012DB.NORTH,CDN0012DB.NORTH,30673462,41.901936,-87.660147,"",Digital 336x1152,Digital Billboard  (336x1152),1,Digital,default,Digital Billboard,Chicago Digital Network,"","","","",CDN-1415,CDN-1415,Ward 27.,2013-09-03,2099-12-31,2099-12-31,A,USA,NONE,CHICAGO,CHICAGO,1415,S.CDN0012DB,CDN0012DB,KENNEDY EXWY S/O DIVISION,60642,60642,CHI,CDN,DEFAULT,CDNREV,1,1,Digital Billboard,Non-Conurbation,292,"",14x48,"",10.0,2022-03-23
CDN0014DB.SOUTH,CDN0014DB.SOUTH,30673465,41.972889,-87.747139,"",Digital 324x1044,Digital Billboard  (324x1044),1,Digital,default,Digital Billboard,Chicago Digital Network,"","","","",CDN-1420,CDN-1420,Ward 39.,2013-09-03,2099-12-31,2099-12-31,A,USA,NONE,CHICAGO,CHICAGO,1420,S.CDN0014DB,CDN0014DB,EDENS EXWY N/O ELSTON,60630,60630,CHI,CDN,DEFAULT,CDNREV,1,1,Digital Billboard,Non-Conurbation,329,"",18x58,"",10.0,2022-03-23
CDN0024DB.EAST,CDN0024DB.EAST,30673454,41.871862,-87.764108,"",Digital 324x1044,Digital Billboard  (324x1044),1,Digital,default,Digital Billboard,Chicago Digital Network,"","","","",CDN-1417,CDN-1417,Ward 29.,2013-09-03,2099-12-31,2099-12-31,A,USA,NONE,CHICAGO,CHICAGO,1417,S.CDN0024DB,CDN0024DB,EISHENHOWER EXWY AT CENTRAL,60644,60644,CHI,CDN,DEFAULT,CDNREV,1,1,Digital Billboard,Non-Conurbation,336,"",18x58,"",10.0,2022-03-23
CDN0012DB.SOUTH,CDN0012DB.SOUTH,30673463,41.901936,-87.660147,"",Digital 336x1152,Digital Billboard  (336x1152),1,Digital,default,Digital Billboard,Chicago Digital Network,"","","","",CDN-1415,CDN-1415,Ward 27.,2013-09-03,2099-12-31,2099-12-31,A,USA,NONE,CHICAGO,CHICAGO,1415,S.CDN0012DB,CDN0012DB,KENNEDY EXWY S/O DIVISION,60642,60642,CHI,CDN,DEFAULT,CDNREV,1,1,Digital Billboard,Non-Conurbation,341,"",14x48,"",10.0,2022-03-23
CDN0023DB.EAST,CDN0023DB.EAST,30673471,41.873959,-87.705231,"",Digital 324x1044,Digital Billboard  (324x1044),1,Digital,default,Digital Billboard,Chicago Digital Network,"","","","",CDN-1416,CDN-1416,Ward 28.,2013-09-03,2099-12-31,2099-12-31,A,USA,NONE,CHICAGO,CHICAGO,1416,S.CDN0023DB,CDN0023DB,EISHENHOWER EXWY E/O KEDZIE,60612,60612,CHI,CDN,DEFAULT,CDNREV,1,1,Digital Billboard,Non-Conurbation,344,"",18x58,"",10.0,2022-03-23
CDN0006DB.WEST,CDN0006DB.WEST,30718797,41.87525,-87.640275,"",Digital 672x432,Digital Billboard  (672x432),1,Digital,default,Digital Billboard,Chicago Digital Network,"","","","",CDN-1414,CDN-1414,Ward 25.,2013-09-03,2099-12-31,2099-12-31,A,USA,NONE,CHICAGO,CHICAGO,1414,S.CDN0006DB,CDN0006DB,EISENHOWER PKWY AT CANAL ST,60607,60607,CHI,CDN,DEFAULT,CDNREV,1,1,Digital Billboard,Non-Conurbation,350,"",28x18,"",10.0,2022-03-23
CDN0032DB.EAST,CDN0032DB.EAST,30718802,41.839845,-87.66243,"",Digital 324x1044,Digital Billboard  (324x1044),1,Digital,default,Digital Billboard,Chicago Digital Network,"","","","",CDN-1411,CDN-1411,Ward 11.,2013-09-03,2099-12-31,2099-12-31,A,USA,NONE,CHICAGO,CHICAGO,1411,S.CDN0032DB,CDN0032DB,STEVENSON EXWY E/O ASHLAND,60608,60608,CHI,CDN,DEFAULT,CDNREV,1,1,Digital Billboard,Non-Conurbation,387,"",18x58,"",10.0,2022-03-23
CDN0023DB.WEST,CDN0023DB.WEST,30673470,41.873959,-87.705231,"",Digital 324x1044,Digital Billboard  (324x1044),1,Digital,default,Digital Billboard,Chicago Digital Network,"","","","",CDN-1416,CDN-1416,Ward 28.,2013-09-03,2099-12-31,2099-12-31,A,USA,NONE,CHICAGO,CHICAGO,1416,S.CDN0023DB,CDN0023DB,EISHENHOWER EXWY E/O KEDZIE,60612,60612,CHI,CDN,DEFAULT,CDNREV,1,1,Digital Billboard,Non-Conurbation,395,"",18x58,"",10.0,2022-03-23
CDN0057DB.EAST,CDN0057DB.EAST,30718809,41.874891,-87.681279,"",Digital 324x1044,Digital Billboard  (324x1044),1,Digital,default,Digital Billboard,Chicago Digital Network,"","","","",CDN-1415,CDN-1415,Ward 27.,2014-07-01,2099-12-31,2099-12-31,A,USA,NONE,CHICAGO,CHICAGO,1415,S.CDN0057DB,CDN0057DB,EISENHOWER EXWY AT WESTERN,60612,60612,CHI,CDN,DEFAULT,CDNREV,1,1,Digital Billboard,Non-Conurbation,398,"",18x58,"",10.0,2022-03-23
CDN0021DB.EAST,CDN0021DB.EAST,30673469,41.848313,-87.625202,"",Digital 324x1044,Digital Billboard  (324x1044),1,Digital,default,Digital Billboard,Chicago Digital Network,"","","","",CDN-1409,CDN-1409,Ward 03.,2013-09-03,2099-12-31,2099-12-31,A,USA,NONE,CHICAGO,CHICAGO,1409,S.CDN0021DB,CDN0021DB,STEVENSON EXWY AT WABASH,60616,60616,CHI,CDN,DEFAULT,CDNREV,1,1,Digital Billboard,Non-Conurbation,401,"",18x58,"",10.0,2022-03-23
CDN0045DB.NORTH,CDN0045DB.NORTH,30718803,41.828107,-87.629644,"",Digital 324x1044,Digital Billboard  (324x1044),1,Digital,default,Digital Billboard,Chicago Digital Network,"","","","",CDN-1409,CDN-1409,Ward 03.,2014-07-01,2099-12-31,2099-12-31,A,USA,NONE,CHICAGO,CHICAGO,1409,S.CDN0045DB,CDN0045DB,DAN RYAN EXWY AT 36TH,60609,60609,CHI,CDN,DEFAULT,CDNREV,1,1,Digital Billboard,Non-Conurbation,409,"",18x58,"",10.0,2022-03-23
CDN0032DB.WEST,CDN0032DB.WEST,30718801,41.839845,-87.66243,"",Digital 324x1044,Digital Billboard  (324x1044),1,Digital,default,Digital Billboard,Chicago Digital Network,"","","","",CDN-1411,CDN-1411,Ward 11.,2013-09-03,2099-12-31,2099-12-31,A,USA,NONE,CHICAGO,CHICAGO,1411,S.CDN0032DB,CDN0032DB,STEVENSON EXWY E/O ASHLAND,60608,60608,CHI,CDN,DEFAULT,CDNREV,1,1,Digital Billboard,Non-Conurbation,440,"",18x58,"",10.0,2022-03-23
CDN0057DB.WEST,CDN0057DB.WEST,30718810,41.874891,-87.681279,"",Digital 324x1044,Digital Billboard  (324x1044),1,Digital,default,Digital Billboard,Chicago Digital Network,"","","","",CDN-1415,CDN-1415,Ward 27.,2014-07-01,2099-12-31,2099-12-31,A,USA,NONE,CHICAGO,CHICAGO,1415,S.CDN0057DB,CDN0057DB,EISENHOWER EXWY AT WESTERN,60612,60612,CHI,CDN,DEFAULT,CDNREV,1,1,Digital Billboard,Non-Conurbation,449,"",18x58,"",10.0,2022-03-23
CDN0027DB.SOUTH,CDN0027DB.SOUTH,30789822,41.918001,-87.671861,"",Digital 324x1044,Digital Billboard  (324x1044),1,Digital,default,Digital Billboard,Chicago Digital Network,"","","","",CDN-1418,CDN-1418,Ward 32.,2013-09-03,2099-12-31,2099-12-31,A,USA,NONE,CHICAGO,CHICAGO,1418,S.CDN0027DB,CDN0027DB,KENNEDY EXWY AT ARMITAGE,60647,60647,CHI,CDN,DEFAULT,CDNREV,1,1,Digital Billboard,Non-Conurbation,455,"",18x58,"",10.0,2022-03-23
CDN0015DB.NORTH,CDN0015DB.NORTH,30673449,41.977371,-87.773332,"",Digital 324x1044,Digital Billboard  (324x1044),1,Digital,default,Digital Billboard,Chicago Digital Network,"","","","",CDN-1422,CDN-1422,Ward 45.,2013-09-03,2099-12-31,2099-12-31,A,USA,NONE,CHICAGO,CHICAGO,1422,S.CDN0015DB,CDN0015DB,KENNEDY EXWY AT MENARD,60630,60630,CHI,CDN,DEFAULT,CDNREV,1,1,Digital Billboard,Non-Conurbation,460,"",18x58,"",10.0,2022-03-23
CDN0045DB.SOUTH,CDN0045DB.SOUTH,30718804,41.828107,-87.629644,"",Digital 324x1044,Digital Billboard  (324x1044),1,Digital,default,Digital Billboard,Chicago Digital Network,"","","","",CDN-1409,CDN-1409,Ward 03.,2014-07-01,2099-12-31,2099-12-31,A,USA,NONE,CHICAGO,CHICAGO,1409,S.CDN0045DB,CDN0045DB,DAN RYAN EXWY AT 36TH,60609,60609,CHI,CDN,DEFAULT,CDNREV,1,1,Digital Billboard,Non-Conurbation,461,"",18x58,"",10.0,2022-03-23
CDN0002DB.NORTH,CDN0002DB.NORTH,30673447,41.889967,-87.649794,"",Digital 324x1044,Digital Billboard  (324x1044),1,Digital,default,Digital Billboard,Chicago Digital Network,"","","","",CDN-1415,CDN-1415,Ward 27.,2013-09-01,2099-12-31,2099-12-31,A,USA,NONE,CHICAGO,CHICAGO,1415,S.CDN0002DB,CDN0002DB,KENNEDY EXWY AT PEORIA,60642,60642,CHI,CDN,DEFAULT,CDNREV,1,1,Digital Billboard,Non-Conurbation,499,"",18x58,"",10.0,2022-03-23
CDN0027DB.NORTH,CDN0027DB.NORTH,30718799,41.918001,-87.671861,"",Digital 324x1044,Digital Billboard  (324x1044),1,Digital,default,Digital Billboard,Chicago Digital Network,"","","","",CDN-1418,CDN-1418,Ward 32.,2013-09-03,2099-12-31,2099-12-31,A,USA,NONE,CHICAGO,CHICAGO,1418,S.CDN0027DB,CDN0027DB,KENNEDY EXWY AT ARMITAGE,60647,60647,CHI,CDN,DEFAULT,CDNREV,1,1,Digital Billboard,Non-Conurbation,506,"",18x58,"",10.0,2022-03-23
CDN0005DB.NORTH,CDN0005DB.NORTH,30673482,41.870514,-87.644167,"",Digital 324x1044,Digital Billboard  (324x1044),1,Digital,default,Digital Billboard,Chicago Digital Network,"","","","",CDN-1414,CDN-1414,Ward 25.,2013-09-03,2099-12-31,2099-12-31,A,USA,NONE,CHICAGO,CHICAGO,1414,S.CDN0005DB,CDN0005DB,DAN RYAN EXWY AT POLK,60607,60607,CHI,CDN,DEFAULT,CDNREV,1,1,Digital Billboard,Non-Conurbation,508,"",18x58,"",10.0,2022-03-23
CDN0011DB.NORTH,CDN0011DB.NORTH,30673461,41.847444,-87.644328,"",Digital 324x1044,Digital Billboard  (324x1044),1,Digital,default,Digital Billboard,Chicago Digital Network,"","","","",CDN-1411,CDN-1411,Ward 11.,2013-09-03,2099-12-31,2099-12-31,A,USA,NONE,CHICAGO,CHICAGO,1411,S.CDN0011DB,CDN0011DB,DAN RYAN AT STEVENSON EXWY,60616,60616,CHI,CDN,DEFAULT,CDNREV,1,1,Digital Billboard,Non-Conurbation,518,"",18x58,"",10.0,2022-03-23
CDN0007DB.EAST,CDN0007DB.EAST,30718798,41.875208,-87.642874,"",Digital 336x1152,Digital Billboard  (336x1152),1,Digital,default,Digital Billboard,Chicago Digital Network,"","","","",CDN-1414,CDN-1414,Ward 25.,2013-09-03,2099-12-31,2099-12-31,A,USA,NONE,CHICAGO,CHICAGO,1414,S.CDN0007DB,CDN0007DB,EISENHOWER EXWY AT DES PLAINES,60607,60607,CHI,CDN,DEFAULT,CDNREV,1,1,Digital Billboard,Non-Conurbation,520,"",14x48,"",10.0,2022-03-23
CDN0005DB.SOUTH,CDN0005DB.SOUTH,30673483,41.870514,-87.644167,"",Digital 324x1044,Digital Billboard  (324x1044),1,Digital,default,Digital Billboard,Chicago Digital Network,"","","","",CDN-1414,CDN-1414,Ward 25.,2013-09-03,2099-12-31,2099-12-31,A,USA,NONE,CHICAGO,CHICAGO,1414,S.CDN0005DB,CDN0005DB,DAN RYAN EXWY AT POLK,60607,60607,CHI,CDN,DEFAULT,CDNREV,1,1,Digital Billboard,Non-Conurbation,555,"",18x58,"",10.0,2022-03-23
CDN0011DB.SOUTH,CDN0011DB.SOUTH,30673460,41.847444,-87.644328,"",Digital 324x1044,Digital Billboard  (324x1044),1,Digital,default,Digital Billboard,Chicago Digital Network,"","","","",CDN-1411,CDN-1411,Ward 11.,2013-09-03,2099-12-31,2099-12-31,A,USA,NONE,CHICAGO,CHICAGO,1411,S.CDN0011DB,CDN0011DB,DAN RYAN AT STEVENSON EXWY,60616,60616,CHI,CDN,DEFAULT,CDNREV,1,1,Digital Billboard,Non-Conurbation,560,"",18x58,"",10.0,2022-03-23
CDN0011DB.WEST,CDN0011DB.WEST,30673459,41.847444,-87.644328,"",Digital 324x1044,Digital Billboard  (324x1044),1,Digital,default,Digital Billboard,Chicago Digital Network,"","","","",CDN-1411,CDN-1411,Ward 11.,2013-09-03,2099-12-31,2099-12-31,A,USA,NONE,CHICAGO,CHICAGO,1411,S.CDN0011DB,CDN0011DB,DAN RYAN AT STEVENSON EXWY,60616,60616,CHI,CDN,DEFAULT,CDNREV,1,1,Digital Billboard,Non-Conurbation,577,"",18x58,"",10.0,2022-03-23
CDN0001DB.SOUTH,CDN0001DB.SOUTH,30673467,41.871903,-87.644272,"",Digital 324x1044,Digital Billboard  (324x1044),1,Digital,default,Digital Billboard,Chicago Digital Network,"","","","",CDN-1414,CDN-1414,Ward 25.,2013-09-01,2099-12-31,2099-12-31,A,USA,NONE,CHICAGO,CHICAGO,1414,S.CDN0001DB,CDN0001DB,DAN RYAN EXWY N/O TAYLOR,60607,60607,CHI,CDN,DEFAULT,CDNREV,1,1,Digital Billboard,Non-Conurbation,890,"",18x58,"",10.0,2022-03-23
CDN0040DB.NORTH,CDN0040DB.NORTH,30828822,41.939171,-87.708904,"",Digital 324x1044,Digital Billboard  (324x1044),1,Digital,default,Digital Billboard,Chicago Digital Network,"","","","",CDN-1419,CDN-1419,Ward 35.,2018-01-01,2099-12-31,2099-12-31,A,USA,NONE,CHICAGO,CHICAGO,1419,S.CDN0040DB,CDN0040DB,KENNEDY EXWY S/O KIMBALL,60618,60618,CHI,CDN,DEFAULT,CDNREV,1,1,Digital Billboard,Non-Conurbation,891,"",18x58,"",10.0,2022-03-23
