routeframecode,extendedcode,framealtcode,latitude,longitude,framesizefamilycode,framesizename,productformatname,digital,modeltype,productformatmarketingname,revenuestreamname,channelname,visualunitcode,visualunitname,linkedassetcode,linkedassetname,geographicalareacode,geographicalareaname,geolevelname,startdate,enddate,maxstatusdate,tvareacode,tvareaname,conurbationcode,routetowncode,routetownname,districtcode,sitecode,furnitureindex,address,postcode,postalsector,businessareacode,businessareagroupcode,productformatmarketingcode,revenuestreamcode,activestatus,currentstatus,businessareaname,conurbation,extid,fsizename,productformatcode,sitenumber,medialength,dayframe
MN01481AB.CO,MN01481AB.CO,30472893,40.759117,-73.980854,formattype0,Digital Bus Shelter 84inch,NYSF Bus Shelter Digital,1,Digital,default,NY - Bus Shelter,New York Street,"","","","",NYC-1460-MN-B96,NYC-1460-MN-B96,Manhattan,2008-02-29,2099-12-31,2099-12-31,A,USA,NONE,NEW YORK,NEW YORK,1460,S.MN01481AB,MN01481AB,"6TH AV, @ W. 49TH STREET",10020,10020,NYSF,NYSF,DEFAULT,NYBS,1,1,NY - Street Furniture,Non-Conurbation,7901,Default format type,NY-AB-DIG,"",10.0,2022-03-23
MN01377AB.CO,MN01377AB.CO,521299,40.71688,-74.00625,formattype0,Digital Bus Shelter 84inch,NYSF Bus Shelter Digital,1,Digital,default,NY - Bus Shelter,New York Street,"","","","",NYC-1460-MN-B96,NYC-1460-MN-B96,Manhattan,2014-08-15,2099-12-31,2099-12-31,A,USA,NONE,NEW YORK,NEW YORK,1460,S.MN01377AB,MN01377AB,"CHURCH ST, BETWEEN THOMAS ST & WORTH ST",10007,10007,NYSF,NYSF,DEFAULT,NYBS,1,1,NY - Street Furniture,Non-Conurbation,7924,Default format type,NY-AB-DIG,"",10.0,2022-03-23
NS4005KI.CL,NS4005KI.CL,30454158,40.760203,-73.984641,formattype0,Newsstand Digital 84,NYSF Newsstand Digital,1,Digital,default,NY - Newsstand,New York Street,NS4005KI,NS4005KI,"","",NYC-1460-MN-B96,NYC-1460-MN-B96,Manhattan,2010-10-07,2099-12-31,2099-12-31,A,USA,NONE,NEW YORK,NEW YORK,1460,S.NS4005KI,NS4005KI,"BROADWAY, @ W 48 ST (12X6)",10019,10019,NYSF,NYSF,DEFAULT,NYNS,1,1,NY - Street Furniture,Non-Conurbation,7936,Default format type,NY-NEWS-DI,"",10.0,2022-03-23
NS4005KI.CP,NS4005KI.CP,30454159,40.760203,-73.984641,formattype0,Newsstand Digital 84,NYSF Newsstand Digital,1,Digital,default,NY - Newsstand,New York Street,NS4005KI,NS4005KI,"","",NYC-1460-MN-B96,NYC-1460-MN-B96,Manhattan,2010-10-07,2099-12-31,2099-12-31,A,USA,NONE,NEW YORK,NEW YORK,1460,S.NS4005KI,NS4005KI,"BROADWAY, @ W 48 ST (12X6)",10019,10019,NYSF,NYSF,DEFAULT,NYNS,1,1,NY - Street Furniture,Non-Conurbation,7939,Default format type,NY-NEWS-DI,"",10.0,2022-03-23
NS4031KI.CL,NS4031KI.CL,30454204,40.756758,-73.985959,formattype0,Newsstand Digital 84,NYSF Newsstand Digital,1,Digital,default,NY - Newsstand,New York Street,NS4031KI,NS4031KI,"","",NYC-1460-MN-B96,NYC-1460-MN-B96,Manhattan,2013-07-12,2099-12-31,2099-12-31,A,USA,NONE,NEW YORK,NEW YORK,1460,S.NS4031KI,NS4031KI,"BROADWAY, @ W. 43RD STREET (12X6)",10036,10036,NYSF,NYSF,DEFAULT,NYNS,1,1,NY - Street Furniture,Non-Conurbation,7944,Default format type,NY-NEWS-DI,"",10.0,2022-03-23
MNBX285AB.CI,MNBX285AB.CI,521387,40.734953,-73.998445,formattype0,Digital Bus Shelter 84inch,NYSF Bus Shelter Digital,1,Digital,default,NY - Bus Shelter,New York Street,"","","","",NYC-1460-MN-B96,NYC-1460-MN-B96,Manhattan,2012-10-16,2099-12-31,2099-12-31,A,USA,NONE,NEW YORK,NEW YORK,1460,S.MNBX285AB,MNBX285AB,"6TH AV, BETWEEN 10 ST & 11 ST",10011,10011,NYSF,NYSF,DEFAULT,NYBS,1,1,NY - Street Furniture,Non-Conurbation,7946,Default format type,NY-AB-DIG,"",10.0,2022-03-23
NS4031KI.CP,NS4031KI.CP,30454205,40.756758,-73.985959,formattype0,Newsstand Digital 84,NYSF Newsstand Digital,1,Digital,default,NY - Newsstand,New York Street,NS4031KI,NS4031KI,"","",NYC-1460-MN-B96,NYC-1460-MN-B96,Manhattan,2013-07-12,2099-12-31,2099-12-31,A,USA,NONE,NEW YORK,NEW YORK,1460,S.NS4031KI,NS4031KI,"BROADWAY, @ W. 43RD STREET (12X6)",10036,10036,NYSF,NYSF,DEFAULT,NYNS,1,1,NY - Street Furniture,Non-Conurbation,7948,Default format type,NY-NEWS-DI,"",10.0,2022-03-23
MN01492AB.CO,MN01492AB.CO,30472905,40.73362,-73.98675,formattype0,Digital Bus Shelter 84inch,NYSF Bus Shelter Digital,1,Digital,default,NY - Bus Shelter,New York Street,"","","","",NYC-1460-MN-B96,NYC-1460-MN-B96,Manhattan,2015-10-15,2099-12-31,2099-12-31,A,USA,NONE,NEW YORK,NEW YORK,1460,S.MN01492AB,MN01492AB,"3RD AV, @ E 14 STREET",10003,10003,NYSF,NYSF,DEFAULT,NYBS,1,1,NY - Street Furniture,Non-Conurbation,7960,Default format type,NY-AB-DIG,"",10.0,2022-03-23
MN01166AB.CO,MN01166AB.CO,30615124,40.7225,-74.0051,formattype0,Digital Bus Shelter 84inch,NYSF Bus Shelter Digital,1,Digital,default,NY - Bus Shelter,New York Street,"","","","",NYC-1460-MN-B96,NYC-1460-MN-B96,Manhattan,2011-09-13,2099-12-31,2099-12-31,A,USA,NONE,NEW YORK,NEW YORK,1460,S.MN01166AB,MN01166AB,"6TH AV, BETWEEN CANAL ST & GRAND ST",10013,10013,NYSF,NYSF,DEFAULT,NYBS,1,1,NY - Street Furniture,Non-Conurbation,8006,Default format type,NY-AB-DIG,"",10.0,2022-03-23
NS4225KI.CL,NS4225KI.CL,30648185,40.7509,-73.990376,formattype0,Newsstand Digital 84,NYSF Newsstand Digital,1,Digital,default,NY - Newsstand,New York Street,NS4225KI,NS4225KI,"","",NYC-1460-MN-B96,NYC-1460-MN-B96,Manhattan,2012-06-28,2099-12-31,2099-12-31,A,USA,NONE,NEW YORK,NEW YORK,1460,S.NS4225KI,NS4225KI,"34TH STREET, @ 7TH AVENUE (12W/K)",10001,10001,NYSF,NYSF,DEFAULT,NYNS,1,1,NY - Street Furniture,Non-Conurbation,8035,Default format type,NY-NEWS-DI,"",10.0,2022-03-23
